sentiment,date,tweet
positive,Wed Apr 05 23:59:59 +0000 2017,Mantine available until 08:27:47pm (27m 59s). Bubble / Ice Beam (93.3% - 14/15/13) https://t.co/PkVWOnZCLo
positive,Wed Apr 05 23:59:59 +0000 2017,"@SalesforceAmy @SteveMoForce @GeoffreyFlynn2 @salesforceadmns UGH, I missed this. This is what happens when I have… https://t.co/cvcqTFc7Sb"
positive,Wed Apr 05 23:59:59 +0000 2017,Donphan available until 08:00:22pm (0m 34s). Counter / Heavy Slam (31.1% - 7/4/3) https://t.co/U6ZzoE2AR7
positive,Wed Apr 05 23:59:59 +0000 2017,Persian - 38% (Scratch/Play Rough) till 08:29:04pm (29m 4s). Found at 1205 Hamilton Rd (Hamilton Road) https://t.co/0lgSnGNY8X
positive,Wed Apr 05 23:59:58 +0000 2017,Dratini available until 08:22:03pm (22m 15s). Iron Tail / Aqua Tail (80.0% - 8/13/15) https://t.co/NOkQn1DUry
positive,Wed Apr 05 23:59:58 +0000 2017,Google's TPU Chip Helped It Avoid Building Dozens of New Data Centers | WIRED https://t.co/154Yo0JTwF
positive,Wed Apr 05 23:59:58 +0000 2017,"RT @MichelJFaulkner: https://t.co/xBXilYEEKU
49 Years ago they shot The Dreamer but didn't kill the dream! I will restore NYC 2 the City of…"
positive,Wed Apr 05 23:59:57 +0000 2017,Mantine available until 07:28:06pm (28m 19s). Wing Attack / Aerial Ace (88.9% - 15/10/15) https://t.co/2Z221rDAD2
positive,Wed Apr 05 23:59:57 +0000 2017,"RT @sylvainsarrailh: Edwin Austin Abbey, American muralist, illustrator, and painter (1852–1911) : https://t.co/5N39uqCjb7 https://t.co/65r…"
positive,Wed Apr 05 23:59:57 +0000 2017,Snorlax available until 08:29:08pm (29m 22s). Zen Headbutt / Earthquake (20.0% - 8/1/0) https://t.co/AUJV2yIkir
positive,Wed Apr 05 23:59:55 +0000 2017,"RT @AUGreekLife: Congrats to Marina for being this weeks Greek of the Week! 
Nominate your fellow Greeks at: https://t.co/Ci63P8ysNr https:…"
positive,Wed Apr 05 23:59:54 +0000 2017,Bay Park: Pupitar ♂ 86.7% (11/15/13 - Rock Smash/Crunch - s:tiny) til 17:29:41(29m 44s). https://t.co/6zch0hrvDH
positive,Wed Apr 05 23:59:54 +0000 2017,Dratini available until 08:27:42pm (27m 59s). Dragon Breath / Wrap (55.6% - 13/11/1) https://t.co/K9aRTlI9yj
positive,Wed Apr 05 23:59:53 +0000 2017,RT @m0E_tv: Why not Follow and Rt to enter Stat Trak Kara Doppler FN giveaway. This pic is from google so relax. Winner will be announced i…
positive,Wed Apr 05 23:59:53 +0000 2017,RT @V_of_Europe: GERMANY - 40-year-old woman beaten with brick while jogging. Suffers severe head injuries. https://t.co/xyy2qbV3Qj https:/…
positive,Wed Apr 05 23:59:53 +0000 2017,"RT @_kennynguyen_: Facebook, Instagram, Youtube, Google, Apple, Twitter, Netflix, Lyft, Uber, Yelp, practically the entire internet - BAY A…"
positive,Wed Apr 05 23:59:52 +0000 2017,Lapras - Cary - 28.9% (9/1/3). 07:29:01pm (29m 8s). https://t.co/OJQCjYIpUs
positive,Wed Apr 05 23:59:52 +0000 2017,RT @jadineprods: Google is shook https://t.co/Zd5v1DjVSp
positive,Wed Apr 05 23:59:52 +0000 2017,"Reuters: Senator talks all night as Democrats fight Trump court nominee. https://t.co/B1YEsxiZnC
#HoldTheFloor #StopGorsuch 
Thank you"
positive,Wed Apr 05 23:59:51 +0000 2017,"[unknown] 80% Flaaffy ♀ (7/14/15, Charge Beam/Power Gem) 'til 08:22:04pm (21m 27s). https://t.co/OFhe3hIEht"
positive,Wed Apr 05 23:59:51 +0000 2017,RT @PatrickJFerree: Which brings us to @LouiseMensch and her reporting on hacker Yvgeny Nikulin and Cassandra Fairbanks. https://t.co/nHqUq…
positive,Wed Apr 05 23:59:50 +0000 2017,"Bruh im ""Spanish "" and I still have to use google translator 😭disgrace"
positive,Wed Apr 05 23:59:50 +0000 2017,"Espresso makes Google cloud faster, more available and cost effective by extending SDN to the public internet… https://t.co/lTMQpVsKGF"
positive,Wed Apr 05 23:59:50 +0000 2017,google search: cheat codes for mental health
positive,Wed Apr 05 23:59:50 +0000 2017,University Gardens Park: Larvitar ♂ 42.2% (9/5/5 - Rock Smash/Crunch - s:normal) til 17:29:13(29m 21s). https://t.co/VOZj7EtECC
positive,Wed Apr 05 23:59:49 +0000 2017,Carlsbad: Larvitar ♀(64.4%IV 5/9/15 Bite/Stomp 0.6m/83.9kg). TTH: 05:17:10pm [17m 20s] https://t.co/Sokswhoqlu
positive,Wed Apr 05 23:59:49 +0000 2017,@GoogleplierIRL I hope to see you again Google leave now but know I'll be waiting
positive,Wed Apr 05 23:59:49 +0000 2017,Cyndaquil - 16% (Ember/Flamethrower) till 08:23:04pm (23m 15s). Found at 235 October Crescent (Byron) https://t.co/3oOPFV9msh
positive,Wed Apr 05 23:59:48 +0000 2017,"RT @dollylynnn: [4SwithB] More previews 😉 Tell me what you guys think!
Preorder https://t.co/6Jr4rKps2n
🔚30/4 🌸
G.O DM PLS #EXO #BAEKHYUN #…"
positive,Wed Apr 05 23:59:48 +0000 2017,174. @checkcashloans 5000+ English Messages Free. Let's install at https://t.co/TZlJl5MmzT
positive,Wed Apr 05 23:59:48 +0000 2017,Hey everybody! Feel free to check out the Green Space Stumpies' pamphlet here https://t.co/jmXpDj9qTf #nifkin
positive,Wed Apr 05 23:59:48 +0000 2017,"RT "" #Pitt Former Pitt Wide Receiver Honored for Outstanding Academic Achievement https://t.co/FH2KdFDTJ0 "" #SportsRoadhouse"
positive,Wed Apr 05 23:59:47 +0000 2017,A great Horsea appeared! It will be in Columbia until 8:28 PM.  https://t.co/20v4jiYHtB https://t.co/lwXssJZicr
positive,Wed Apr 05 23:59:47 +0000 2017,"RT "" #Pitt Panthers Down Rival Penn State at Home https://t.co/oBl9tuO3dD "" #SportsRoadhouse"
positive,Wed Apr 05 23:59:46 +0000 2017,"RT @ohsehunph412: [PLS RT | PH GO]

@412degrees ✿ PURR-FECT DAY ✿  

2017 Calendar Card and Wire Keyring 

details and order form: https://…"
positive,Wed Apr 05 23:59:46 +0000 2017,RT @V_of_Europe: SPAIN - 19-year-old girl arrested for terrorism offences near Barcelona. Is part of large scale terrorist network. https:/…
positive,Wed Apr 05 23:59:46 +0000 2017,State conference on farmer suicides at Sundarayya Vignana Kendram on April 16: Hyderabad… https://t.co/8iYOKo6Ydw
positive,Wed Apr 05 23:59:46 +0000 2017,"E-Gov: In digital &lt;b&gt;Telangana&lt;/b&gt;, the pipe for water to also serve broadband: The… https://t.co/YeyF6thT0u"
positive,Wed Apr 05 23:59:44 +0000 2017,Google's new chip for executing neural network models improves efficiency by a factor as high as 80 https://t.co/OH7GlXeAXy via @WIRED
positive,Wed Apr 05 23:59:44 +0000 2017,Otay: Snorlax ♂ 64.4% (12/11/6 - Zen Headbutt/Earthquake - s:big) til 17:29:23(29m 36s). https://t.co/H6hocb9Ol7
positive,Wed Apr 05 23:59:43 +0000 2017,Are we playing dirty? https://t.co/v7Mzn3FwoR 🤔 Looks like you might be. Here: https://t.co/XaIgzJaWHH… https://t.co/ZS2uknxh23
positive,Wed Apr 05 23:59:43 +0000 2017,RT @Brilliant_Ads: Google Ad placement... https://t.co/GTCx7THmOU
positive,Wed Apr 05 23:59:43 +0000 2017,Dragonair available until 08:28:46pm (29m 14s). Iron Tail / Wrap (17.8% - 0/7/1) https://t.co/xDXfiAFtqH
positive,Wed Apr 05 23:59:43 +0000 2017,RT @LazyGoblins: While you wait for this months game you can play #WackyDuels! #gamedev #indiedev #pixelart #madewithunity #rt https://t.co…
positive,Wed Apr 05 23:59:42 +0000 2017,"Chikorita(80.0% 15/8/13, Vine Whip / Grass Knot) Available until 20:29:25 (29m 47s). https://t.co/CboWIkhtIG"
positive,Wed Apr 05 23:59:42 +0000 2017,That isn't at all true.  See all here: https://t.co/NZZZ3TzwdB https://t.co/IDc3DZqNai
positive,Wed Apr 05 23:59:42 +0000 2017,"RT @beth_halford: You can tell my hands are getting tired, #ACSSanFran. But you can do a google image search for this one. https://t.co/Fqz…"
positive,Wed Apr 05 23:59:42 +0000 2017,"[SY] Mareep despawn: 07:55:28pm(55m 46s) IV:73.3% (7/12/14) Moves:Tackle, Discharge https://t.co/cvmM6EN7D9"
positive,Wed Apr 05 23:59:41 +0000 2017,#H2P Former Pitt Wide Receiver Honored for Outstanding Academic Achievement https://t.co/AwHMP67dl8 #SportsRoadhouse
positive,Wed Apr 05 23:59:41 +0000 2017,"RT @makemeafan: We drink wine and drop knowledge! 

https://t.co/pFHIcaldHc

https://t.co/9Pa4bZEPuz

#PodernFamily #Podmosphere #podecho #…"
positive,Wed Apr 05 23:59:41 +0000 2017,#H2P Panthers Down Rival Penn State at Home https://t.co/xMfRhOIVvE #SportsRoadhouse
positive,Wed Apr 05 23:59:41 +0000 2017,@JERIs_world @MollyJongFast @realDonaldTrump @KingAbdullahII I have. HR 861:https://t.co/DtXTpceyLe HR 899:… https://t.co/IbE969qYE7
positive,Wed Apr 05 23:59:41 +0000 2017,"You Can Talk About It Or Take Action  To  Protection Environment https://t.co/69vA76k2Nu
https://t.co/2JmgJLwC3m https://t.co/akHSu5Gj0D"
positive,Wed Apr 05 23:59:40 +0000 2017,A wild Nidoran♂ (97.8%) appeared! Available until 06:29:06pm (29m 30s). https://t.co/hL6TlLoVuR
positive,Wed Apr 05 23:59:40 +0000 2017,#USFBulls Former USF coach Orlando Antigua joins Illinois staff https://t.co/hxcSM7vOQA #SportsRoadhouse
positive,Wed Apr 05 23:59:40 +0000 2017,Anyone know what Google Chrome helper is and why it's hogging a ton of CPU?
positive,Wed Apr 05 23:59:40 +0000 2017,Sudowoodo available until 06:29:13pm (29m 44s). Rock Throw / Rock Slide (97.8% - 14/15/15) https://t.co/aA5URwfYJS
positive,Wed Apr 05 23:59:39 +0000 2017,A wild Dratini has appeared in Trumbull! Available until 20:24:53 (25m 46s). 5 mins away. 51.1% - 7/3/13. https://t.co/pBv8WJYcXa
